source,target,ligand,receptor,prob_MPR,pval_MPR,prob_NMPR,pval_NMPR,presence
MRC1+ M2-like,Ciliated,F11R,F11R,0.0155844933655387,0,0.0117804038271138,0,Both
Ciliated,M2-SIGLEC8+,F11R,F11R,0.0169112246480825,0,0.0173609336028717,0,Both
Ciliated,MRC1+ M2-like,F11R,F11R,0.0155844933655387,0,0.0117804038271138,0,Both
Ciliated,Resident M2,HLA-F,LILRB1,0.0245025783904538,0,0.0094890011727404,0,Both
IFN-stimulated,Ciliated,HLA-DPA1,CD4,0.128942462297833,0,0.0842910156345173,0,Both
MRC1+ M2-like,Ciliated,HLA-DPA1,CD4,0.125239565255814,0,0.0741997860007638,0,Both
SPP1+ immunosuppressive,Ciliated,HLA-DPA1,CD4,0.13767694559091,0,0.081238638220592,0,Both
IFN-stimulated,Ciliated,HLA-DPB1,CD4,0.113208757070989,0,0.0729511490787842,0,Both
MRC1+ M2-like,Ciliated,HLA-DPB1,CD4,0.116342105531886,0,0.069617263014246,0,Both
SPP1+ immunosuppressive,Ciliated,HLA-DPB1,CD4,0.128115173086102,0,0.0762994652450188,0,Both
IFN-stimulated,Ciliated,HLA-DQA1,CD4,0.103714170697415,0,0.0595234876193612,0,Both
M2-SIGLEC8+,Ciliated,HLA-DQA1,CD4,0.111614181879377,0,0.0652583474276493,0,Both
SPP1+ immunosuppressive,Ciliated,HLA-DQA1,CD4,0.119238992063265,0,0.0678075761857178,0,Both
IFN-stimulated,Ciliated,HLA-DMA,CD4,0.0687622530661338,0,0.0375072199683782,0,Both
M2-SIGLEC8+,Ciliated,HLA-DMA,CD4,0.0840103191649915,0,0.0437801546330654,0,Both
MRC1+ M2-like,Ciliated,HLA-DMA,CD4,0.0701301365006315,0,0.0392049465506838,0,Both
Resident M2,Ciliated,HLA-DMA,CD4,0.0776768389962245,0,0.0355399490666583,0,Both
SPP1+ immunosuppressive,Ciliated,HLA-DMA,CD4,0.0718155744451276,0,0.0407564504000941,0,Both
IFN-stimulated,Ciliated,HLA-DMB,CD4,0.0869654905862488,0,0.0463997065088872,0,Both
M2-SIGLEC8+,Ciliated,HLA-DMB,CD4,0.0984100778390449,0,0.0564580559843054,0,Both
MRC1+ M2-like,Ciliated,HLA-DMB,CD4,0.0771150063147103,0,0.0432936757929329,0,Both
Resident M2,Ciliated,HLA-DMB,CD4,0.0968444818220557,0,0.0469748771253916,0,Both
SPP1+ immunosuppressive,Ciliated,HLA-DMB,CD4,0.086168052247006,0,0.0446644334440212,0,Both
IFN-stimulated,Ciliated,HLA-DOA,CD4,0.0331502917688302,0,0.0138929659691207,0,Both
M2-SIGLEC8+,Ciliated,HLA-DOA,CD4,0.059240346339961,0,0.0311704142609012,0,Both
MRC1+ M2-like,Ciliated,HLA-DOA,CD4,0.0454511796968638,0,0.0159032668562409,0,Both
SPP1+ immunosuppressive,Ciliated,HLA-DOA,CD4,0.0677710708091938,0,0.0225275731496813,0,Both
IFN-stimulated,Ciliated,HLA-DQB1,CD4,0.0627423875899985,0,0.0597761714080204,0,Both
M2-SIGLEC8+,Ciliated,HLA-DQB1,CD4,0.0739760282297504,0,0.0656926796728906,0,Both
Resident M2,Ciliated,HLA-DQB1,CD4,0.0720042640470321,0,0.0495803212403329,0,Both
SPP1+ immunosuppressive,Ciliated,HLA-DQB1,CD4,0.0908290546612396,0,0.0528929963434788,0,Both
Ciliated,IFN-stimulated,HLA-DRA,CD4,0.152314781971485,0,0.11242598884341,0,Both
Ciliated,M2-SIGLEC8+,HLA-DRA,CD4,0.162963515351654,0,0.128111634375495,0,Both
Ciliated,MRC1+ M2-like,HLA-DRA,CD4,0.109702100710627,0,0.107043030033977,0,Both
Ciliated,Resident M2,HLA-DRA,CD4,0.18226510181077,0,0.123017572573091,0,Both
Ciliated,SPP1+ immunosuppressive,HLA-DRA,CD4,0.182182959944255,0,0.146484013384271,0,Both
IFN-stimulated,Ciliated,HLA-DRB1,CD4,0.126575601032895,0,0.0687962337848978,0,Both
MRC1+ M2-like,Ciliated,HLA-DRB1,CD4,0.140304620568038,0,0.0813597391487408,0,Both
SPP1+ immunosuppressive,Ciliated,HLA-DRB1,CD4,0.13208317769017,0,0.0837367216614947,0,Both
Ciliated,IFN-stimulated,HLA-DRB1,CD4,0.129157535677278,0,0.0963711686317997,0,Both
Ciliated,M2-SIGLEC8+,HLA-DRB1,CD4,0.138451711542925,0,0.110094694935983,0,Both
Ciliated,MRC1+ M2-like,HLA-DRB1,CD4,0.0923179305671401,0,0.0916775154152688,0,Both
Ciliated,Resident M2,HLA-DRB1,CD4,0.1553890484731,0,0.105630242044366,0,Both
Ciliated,SPP1+ immunosuppressive,HLA-DRB1,CD4,0.155316718351515,0,0.126257437244568,0,Both
IFN-stimulated,Ciliated,HLA-DRB3,CD4,0.0714892657702052,0,0.0474709575063223,0,Both
M2-SIGLEC8+,Ciliated,HLA-DRB3,CD4,0.0811510719326234,0,0.0589398091198009,0,Both
MRC1+ M2-like,Ciliated,HLA-DRB3,CD4,0.024437802494756,0,0.0399128920587613,0,Both
Resident M2,Ciliated,HLA-DRB3,CD4,0.0814980446081646,0,0.0526311898047688,0,Both
M2-SIGLEC8+,Ciliated,MPZL1,MPZL1,0.000512574651505445,0,0.00095132315386912,0,Both
Ciliated,M2-SIGLEC8+,MPZL1,MPZL1,0.000512574651505445,0,0.00095132315386912,0,Both
IFN-stimulated,Ciliated,SEMA4A,PLXNB1,0.00482586543013969,0,0.00291679724344213,0,Both
M2-SIGLEC8+,Ciliated,SEMA4A,PLXNB1,0.00319598520278509,0,0.00437715322303683,0,Both
Resident M2,Ciliated,SEMA4A,PLXNB1,0.00667454611324852,0,0.00495788152314561,0,Both
SPP1+ immunosuppressive,Ciliated,SEMA4A,PLXNB1,0.00105307442862652,0,0.00070973199005608,0,Both
IFN-stimulated,Ciliated,SEMA4A,PLXNB2,0.031162771028687,0,0.0167662602714121,0,Both
M2-SIGLEC8+,Ciliated,SEMA4A,PLXNB2,0.0208240332747188,0,0.0249868751737695,0,Both
Resident M2,Ciliated,SEMA4A,PLXNB2,0.0426679609957244,0,0.0282244342315216,0,Both
SPP1+ immunosuppressive,Ciliated,SEMA4A,PLXNB2,0.00694383808167285,0,0.00412299697761817,0,Both
IFN-stimulated,Ciliated,SEMA4D,PLXNB1,0.00296688178713585,0,0.0024428914314005,0,Both
M2-SIGLEC8+,Ciliated,SEMA4D,PLXNB1,0.000659497320552868,0,0.000410042636632215,0,Both
SPP1+ immunosuppressive,Ciliated,SEMA4D,PLXNB1,0.000846574384106722,0,0.000923570918096488,0,Both
IFN-stimulated,Ciliated,SEMA4D,PLXNB2,0.0193558051784384,0,0.0140739284695143,0,Both
M2-SIGLEC8+,Ciliated,SEMA4D,PLXNB2,0.00435824629151997,0,0.00238547290288287,0,Both
SPP1+ immunosuppressive,Ciliated,SEMA4D,PLXNB2,0.0055886656697678,0,0.00535972082124828,0,Both
Ciliated,IFN-stimulated,ITGAV_ITGB1,ADGRE2,0.00919064054321955,0,0.00259949758764384,0,Both
Ciliated,Resident M2,ITGAV_ITGB1,ADGRE2,0.0091617091800561,0,0.00276563031162292,0,Both
Ciliated,IFN-stimulated,CD55,ADGRE5,0.0210638313121681,0,0.0213132161515839,0,Both
Ciliated,MRC1+ M2-like,CD55,ADGRE5,0.0266200520436474,0,0.0306313009036326,0,Both
Ciliated,Resident M2,CD55,ADGRE5,0.0198979406805097,0,0.00524567778724374,0,Both
Ciliated,IFN-stimulated,LPAR3,ADGRE5,0.0102589770751613,0,0.00316629197792122,0,Both
Ciliated,M2-SIGLEC8+,LPAR3,ADGRE5,0.00256930112763378,0,0.000656848352666942,0,Both
Ciliated,MRC1+ M2-like,LPAR3,ADGRE5,0.013002948861368,0,0.00458777803434118,0,Both
Ciliated,Resident M2,LPAR3,ADGRE5,0.00968522210326135,0,0.000768554815525868,0,Both
Ciliated,SPP1+ immunosuppressive,LPAR3,ADGRE5,0.00314850971075397,0,0.000919456657881749,0,Both
IFN-stimulated,Ciliated,TGM2,ADGRG1,0.00245620919755163,0,0.00283444951049451,0,Both
M2-SIGLEC8+,Ciliated,TGM2,ADGRG1,0.000991036330381909,0,0.00291876402053483,0,Both
MRC1+ M2-like,Ciliated,TGM2,ADGRG1,0.00321451953668431,0,0.00241300683384424,0,Both
Ciliated,IFN-stimulated,APP,SORL1,0.0120624550582369,0,0.00847276440395907,0,Both
Ciliated,M2-SIGLEC8+,APP,SORL1,0.0320167156324732,0,0.0189758546998007,0,Both
Ciliated,MRC1+ M2-like,APP,SORL1,0.00635278738660845,0,0.00798038693099774,0,Both
Ciliated,Resident M2,APP,SORL1,0.011376045969598,0,0.0268956514148794,0,Both
Ciliated,SPP1+ immunosuppressive,APP,SORL1,0.017086540446465,0,0.00782249042977968,0,Both
IFN-stimulated,Ciliated,APP,TNFRSF21,0.00641745375049549,0,0.00412663309548697,0,Both
MRC1+ M2-like,Ciliated,APP,TNFRSF21,0.00532024122113506,0,0.00503347558860279,0,Both
Ciliated,M2-SIGLEC8+,APP,TNFRSF21,0.0236763821683034,0,0.0176421203614048,0,Both
Ciliated,Resident M2,APP,TNFRSF21,0.00594942721240579,0,0.00804886317923109,0,Both
Ciliated,SPP1+ immunosuppressive,APP,TNFRSF21,0.00625011949668398,0,0.00954818110703168,0,Both
Ciliated,IFN-stimulated,APP,TREM2_TYROBP,0.0331025686902336,0,0.0466316728911962,0,Both
Ciliated,M2-SIGLEC8+,APP,TREM2_TYROBP,0.0838487126167473,0,0.0382601862306011,0,Both
Ciliated,MRC1+ M2-like,APP,TREM2_TYROBP,0.0785947581152566,0,0.0958630424562596,0,Both
Ciliated,SPP1+ immunosuppressive,APP,TREM2_TYROBP,0.045685932206988,0,0.0659374579725979,0,Both
Ciliated,MRC1+ M2-like,NTN4,UNC5B,0.00179328417834575,0,0.000444835443675484,0,Both
IFN-stimulated,Ciliated,PECAM1,CD38,0.00795091499525123,0,0.0033324419530707,0,Both
M2-SIGLEC8+,Ciliated,PECAM1,CD38,0.0149712092874008,0,0.00635409485762774,0,Both
MRC1+ M2-like,Ciliated,PECAM1,CD38,0.0208140724909815,0,0.006904772877075,0,Both
