source,target,ligand,receptor,p_value,median_MPR,median_NMPR,n_MPR,n_NMPR,p_adj
MRC1+ M2-like,CD8.TPEX,HLA-C,CD8A,0.209090909090909,11.8726828074765,10.4624134055129,3,9,1
IFN-stimulated,CD8.TEX,HLA-B,CD8A,0.6,11.0499073587351,11.5009861655874,3,9,1
CD8.TEX,IFN-stimulated,CD52,SIGLEC10,0.209090909090909,0.780752711980562,1.38302494389959,3,9,1
MRC1+ M2-like,CD8.TPEX,HLA-DRB5,LAG3,0.249999181535865,0,0.131514257457899,3,9,1
Resident M2,CD8.TPEX,HLA-C,CD8A,0.833333333333333,11.9437940493304,10.2095568944709,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,GRN,NTRK1,1,0,0,3,7,1
MRC1+ M2-like,CD8.TEX,CXCL16,CXCR6,0.6,1.72034926319714,1.54093217350888,3,9,1
Regulatory,CD8.TEX,HLA-DRA,LAG3,1,3.19355967465758,3.65087649512268,3,7,1
Regulatory,CD8.TPEX,HLA-DQB1,LAG3,0.24863323021196,0,1.31814405252305,3,7,1
Regulatory,CD8.TEX,HLA-DPA1,LAG3,1,2.52777006262098,3.01586944358243,3,7,1
Resident M2,CD8.TEX,HLA-DPA1,LAG3,0.666666666666667,2.34644368570333,3.21253219465664,3,7,1
Resident M2,CD8.TPEX,HLA-A,CD8A,0.183333333333333,11.7460350476279,9.98599029883088,3,7,1
Regulatory,CD8.TEX,HLA-C,CD8A,1,11.3378826596125,11.66084499993,3,7,1
CD8.TEX,Resident M2,CXCL13,ACKR1,1,0,0,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,HLA-DRA,LAG3,0.644461295362125,0,3.16882163362869,3,7,1
IFN-stimulated,CD8.TEX,HLA-DRA,LAG3,0.6,3.28786331650905,4.27537943568081,3,9,1
SPP1+ immunosuppressive,CD8.TEX,HLA-E,CD8A,0.383333333333333,9.47073964464018,7.96684266034454,3,7,1
CD8.TPEX,IFN-stimulated,CD52,SIGLEC10,0.281818181818182,0.951492873415362,1.29790376416477,3,9,1
Regulatory,CD8.TEX,HLA-DPB1,LAG3,0.833333333333333,2.24271164423792,2.7264470570925,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-DPB1,LAG3,0.727272727272727,2.28454069530627,2.87414418670364,3,9,1
Regulatory,CD8.TEX,LGALS1,CD69,0.183333333333333,4.52887112056078,2.59382828734,3,7,1
CD8.TEX,Resident M2,CCL5,CCRL2,0.731656788769528,1.3578044329935,1.61904549788392,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-DPA1,LAG3,0.727272727272727,2.48325609757778,3.13064895888574,3,9,1
MRC1+ M2-like,CD8.TEX,HLA-A,CD8A,0.6,11.3559672509043,11.3829195071553,3,9,1
MRC1+ M2-like,CD8.TPEX,LGALS3,LAG3,0.351835987518778,0,2.59977084458851,3,9,1
Resident M2,CD8.TEX,HLA-DRA,LAG3,0.666666666666667,3.03080381684953,4.05166627438629,3,7,1
CD8.TPEX,Resident M2,GZMB,IGF2R,0.638128495720421,0,0.937954548941475,3,7,1
SPP1+ immunosuppressive,CD8.TEX,HLA-DQB1,LAG3,1,2.32658559190388,2.22703062244176,3,7,1
MRC1+ M2-like,CD8.TPEX,HLA-DQA1,LAG3,0.456376199295998,0,3.93158160469441,3,9,1
IFN-stimulated,CD8.TPEX,HLA-DPA1,LAG3,0.351835987518778,0,3.81709868263816,3,9,1
CD8.TPEX,Ciliated,CXCL13,GRM7,1,0,0,3,5,1
CD8.TEX,MRC1+ M2-like,CCL5,CCR1,0.481818181818182,3.6252431014947,3.95389285123574,3,9,1
MRC1+ M2-like,CD8.TPEX,HLA-DRA,LAG3,0.351835987518778,0,5.1611133482047,3,9,1
CD8.TEX,IFN-stimulated,IFNG,IFNGR1_IFNGR2,0.863636363636364,1.07454544834322,1.39992346972672,3,9,1
Resident M2,CD8.TEX,ITGB2,CD226,1,1.10825556648388,0.823443798590889,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,HLA-C,CD8A,0.116666666666667,12.209189000053,8.96484199893142,3,7,1
CD8.TPEX,Resident M2,TIGIT,NECTIN2,1,1.22434352021231,0.44011316397514,3,7,1
Resident M2,CD8.TPEX,NECTIN2,TIGIT,1,1.22434352021231,0.44011316397514,3,7,1
Resident M2,CD8.TEX,MMP9,CD44,0.0674116194841113,1.44970300689497,0.330895051015081,3,7,1
Ciliated,CD8.TEX,OMG,TNFRSF1B,0.785714285714286,1.2456974875161,1.34246557832789,3,5,1
CD8.TPEX,MRC1+ M2-like,CIRBP,TREM1,0.456376199295998,0,0.881232927515411,3,9,1
IFN-stimulated,CD8.TPEX,CXCL9,CXCR3,0.510043697433309,1.0550335623796,0.487523104131724,3,9,1
CD8.TPEX,Regulatory,CCL5,CCR1,1,3.26977531915043,3.47792983761214,3,7,1
