source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
MRC1+ M2-like,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.00365449968385095,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Regulatory,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.0020205032890615,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Resident M2,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.0036047041173288,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
SPP1+ immunosuppressive,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.00150018235444276,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Stress-response,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.00267826436272249,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
CD8.NaiveLike,Regulatory,TGFB1,ACVR1B_TGFbR2,0.00146845472053695,0.02,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
IFN-stimulated,Regulatory,TGFB1,ACVR1B_TGFbR2,0.00387048168927341,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
M2-SIGLEC8+,Regulatory,TGFB1,ACVR1B_TGFbR2,0.00217764877068643,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Monocyte-derived,Regulatory,TGFB1,ACVR1B_TGFbR2,0.00325632541526781,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
MRC1+ M2-like,Regulatory,TGFB1,ACVR1B_TGFbR2,0.00330087392469068,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Regulatory,Regulatory,TGFB1,ACVR1B_TGFbR2,0.00182441251252228,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
