source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Lipid-associated,Regulatory,TGFB1,ACVR1B_TGFbR2,0.00210612645412616,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
M2-SIGLEC8+,Regulatory,TGFB1,ACVR1B_TGFbR2,0.000514477666081917,0.03,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
MRC1+ M2-like,Regulatory,TGFB1,ACVR1B_TGFbR2,0.00142161711438386,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Regulatory,Regulatory,TGFB1,ACVR1B_TGFbR2,0.00302308928157569,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
SPP1+ immunosuppressive,Regulatory,TGFB1,ACVR1B_TGFbR2,0.00261787272946979,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
IFN-stimulated,Resident M2,TGFB1,ACVR1B_TGFbR2,0.00382031165099056,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Lipid-associated,Resident M2,TGFB1,ACVR1B_TGFbR2,0.00419725190360958,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
M2-SIGLEC8+,Resident M2,TGFB1,ACVR1B_TGFbR2,0.00102680909598312,0.01,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
MRC1+ M2-like,Resident M2,TGFB1,ACVR1B_TGFbR2,0.00283398788750226,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Regulatory,Resident M2,TGFB1,ACVR1B_TGFbR2,0.0060185243075011,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Resident M2,Resident M2,TGFB1,ACVR1B_TGFbR2,0.000794297260683576,0.01,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
SPP1+ immunosuppressive,Resident M2,TGFB1,ACVR1B_TGFbR2,0.00521389777361021,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
IFN-stimulated,Lipid-associated,TGFB1,ACVR1_TGFbR,0.00499797145544454,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Lipid-associated,Lipid-associated,TGFB1,ACVR1_TGFbR,0.00521578059686915,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
M2-SIGLEC8+,Lipid-associated,TGFB1,ACVR1_TGFbR,0.00134449833114836,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
MRC1+ M2-like,Lipid-associated,TGFB1,ACVR1_TGFbR,0.0044050106095399,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Regulatory,Lipid-associated,TGFB1,ACVR1_TGFbR,0.00786845887876102,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Resident M2,Lipid-associated,TGFB1,ACVR1_TGFbR,0.00104012348046237,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
