source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
tumor_NMPR,Ciliated,CD55,ADGRE5,1,54604,0.749907391577086,42713,0.00269842948374485,59416,-0.183861606017419,61683
Resident M2,MRC1+ M2-like,VCAN,TLR2,1,45777.6666666667,0.749894785317223,42714,0.00427737925676975,51362,0.111567799171799,43257
MRC1+ M2-like,CD8.TEX,VEGFA,CD44,1,59534.3333333333,0.749889034582036,42715,0.000593114467389043,68167,-0.463969135181396,67721
tumor_NMPR,normal_NMPR,LGALS9,CD47,1,59487.3333333333,0.749865275314668,42718,0.00076907705314296,67672,-0.506751122609819,68072
Regulatory,Resident M2,CCL3,CCR5,1,51270.6666666667,0.749859770881312,42719,0.00341159877964242,55846,-0.0558737013211711,55247
IFN-stimulated,Monocyte-derived,VEGFB,NRP1,1,48508,0.749836597069787,42722,0.00396213759963065,53065,0.0244197718345504,49737
Monocyte-derived,normal_NMPR,ADAM9,ITGAV,1,46767.6666666667,0.749836149220456,42723,0.00424458873777743,51536,0.0746719151581559,46044
SPP1+ immunosuppressive,normal_NMPR,TGFB1,CXCR4,1,56909,0.749832655899246,42724,0.00167325940622882,63979,-0.253506940106691,64024
SPP1+ immunosuppressive,normal_NMPR,THBS1,CD47,1,54078,0.749825895683438,42727,0.00276952035867416,59074,-0.152641305517764,60433
Stress-response,MRC1+ M2-like,ADAM9,ITGAV,1,47505,0.749780621534571,42731,0.00424207671482663,51549,0.0450696725415019,48235
Stress-response,Lipid-associated,CD99,CD99L2,1,50224.3333333333,0.749778148656132,42732,0.00414929351753051,52055,-0.0670480712267668,55886
Stress-response,Regulatory,ARF6,PLD1,1,50016.3333333333,0.749771252570901,42734,0.00498541277143262,47466,-0.13979672828858,59849
tumor_NMPR,Monocyte-derived,GRN,SORT1,1,58888,0.749750674265026,42736,0.00125306396499475,65732,-0.525332488437824,68196
tumor_NMPR,CD8.TPEX,APP,NCSTN,1,54644,0.749744814328183,42737,0.00182044050356205,63368,-0.101477934828129,57827
Regulatory,SPP1+ immunosuppressive,CALM2,INSR,1,48492,0.74972558776385,42741,0.00416724024770572,51966,0.0100424512532054,50769
M2-SIGLEC8+,CD8.TPEX,CLEC11A,ITGB1,1,53567,0.749719477663532,42742,0.00344824184613189,55681,-0.199848781390362,62278
Ciliated,Ciliated,HLA-DQB1,CD4,1,59809,0.749707685777233,42746,0.000406014564457024,68637,-0.503404032110256,68044
Monocyte-derived,Stress-response,LGALS3BP,CD33,1,54049,0.749663909625285,42749,0.00310236880024383,57473,-0.190165849040038,61925
Monocyte-derived,Monocyte-derived,C1QA,CR1,1,52592.6666666667,0.749662271988812,42751,0.00178821629144168,63491,-0.000601233542299018,51536
Resident M2,Resident M2,SPP1,ITGA4_ITGB1,1,57614.6666666667,0.749656947221195,42753,0.00109295629798878,66417,-0.241925502481064,63674
Ciliated,IFN-stimulated,IL18,IL18BP,1,39771.3333333333,0.749654404257797,42754,0.00415071779153283,52047,0.363674039702118,24513
Resident M2,SPP1+ immunosuppressive,BSG,SLC16A1,1,42400,0.7496515458571,42755,0.00776113555488973,32700,-0.00366265851745498,51745
Monocyte-derived,Ciliated,CALM2,KCNQ1,1,50327.6666666667,0.749642945222322,42759,0.00419696939366391,51792,-0.0767732609107695,56432
MRC1+ M2-like,tumor_NMPR,ADAM9,ITGAV,1,46711.3333333333,0.749619312419099,42763,0.00423478976534872,51588,0.0782057671106385,45783
Lipid-associated,M2-SIGLEC8+,PTPN6,CLEC12A,1,46034.3333333333,0.749615138050912,42765,0.00558350067315043,44122,0.0036039385307851,51216
CD8.TEX,Lipid-associated,SPP1,ITGA4_ITGB1,1,57243,0.749598065847624,42766,0.00109227074290239,66422,-0.206734262406438,62541
tumor_NMPR,SPP1+ immunosuppressive,PLAU,LRP1,1,53118,0.74959682038274,42767,0.00167467164306031,63970,-0.0158502811782629,52617
Monocyte-derived,tumor_NMPR,CXCL8,SDC3,1,44537.3333333333,0.749583534249563,42769,0.00123049194879804,65834,0.356222802944433,25009
Regulatory,M2-SIGLEC8+,CALM1,INSR,1,54428.3333333333,0.749575245817758,42770,0.00272606779270341,59285,-0.171756859991032,61230
Resident M2,CD8.TPEX,SPP1,ITGA4_ITGB1,1,57138.3333333333,0.749574751322936,42771,0.00109199944069884,66423,-0.198383035955859,62221
Ciliated,SPP1+ immunosuppressive,S100A8,TLR4,1,52579.6666666667,0.749563946252343,42773,0.00159767432185405,64285,0.0112474633973755,50681
M2-SIGLEC8+,normal_NMPR,APP,TNFRSF21,1,51704.3333333333,0.74954710680925,42778,0.00375000604064602,54123,-0.107930451476144,58212
IFN-stimulated,IFN-stimulated,VEGFA,ITGAV,1,53566.3333333333,0.749538807143259,42779,0.00277562491334497,59051,-0.119909026270905,58869
M2-SIGLEC8+,MRC1+ M2-like,ADAM10,IL6R,1,49890.3333333333,0.749516697782857,42782,0.00374020650712395,54163,-0.0175338159285892,52726
SPP1+ immunosuppressive,CD8.TPEX,S100A8,ITGB2,1,59657,0.749511446501395,42783,0.000531815701860183,68343,-0.477700422494049,67845
Ciliated,IFN-stimulated,ADAM15,ITGB1,1,46166.3333333333,0.749504154380771,42784,0.00699488519247081,36437,-0.127599332407125,59278
normal_NMPR,M2-SIGLEC8+,CALR,SCARF1,1,46367.6666666667,0.749493520531111,42785,0.0055560124517474,44291,-0.00767019995168808,52027
IFN-stimulated,tumor_NMPR,ADAM10,IL6R,1,48479,0.749478320672852,42786,0.00373867779104393,54172,0.0418094843073242,48479
