cell,final_group,scevan_group,CytoTRACE2_Score,CytoTRACE2_Potency,response,cell_type
BD_immune09_332519,normal_NMPR,normal_NMPR,0.293660212131441,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_56074,normal_NMPR,normal_NMPR,0.473912599658825,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_237856,normal_NMPR,normal_NMPR,0.574020086605347,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_687208,normal_NMPR,normal_NMPR,0.367765122632007,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_855546,normal_NMPR,normal_NMPR,0.251422162014397,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_515867,normal_NMPR,normal_NMPR,0.313220932986612,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_155625,normal_NMPR,normal_NMPR,0.578469885303149,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_337465,normal_NMPR,normal_NMPR,0.24779915558521,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_52643,normal_NMPR,normal_NMPR,0.147144307637449,Differentiated,NMPR,Tumor_epithelial
BD_immune09_768527,normal_NMPR,normal_NMPR,0.40396968451254,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_181449,normal_NMPR,normal_NMPR,0.409703863227861,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_234965,normal_NMPR,normal_NMPR,0.209716332728055,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_699961,normal_NMPR,normal_NMPR,0.40765378113579,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_554061,normal_NMPR,normal_NMPR,0.208458627568699,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_530387,normal_NMPR,normal_NMPR,0.586648546174296,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_722162,normal_NMPR,normal_NMPR,0.131519776474925,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_540941,normal_NMPR,normal_NMPR,0.271844620894439,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_319300,normal_NMPR,normal_NMPR,0.375475254095826,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_357764,normal_NMPR,normal_NMPR,0.194081186592513,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_631408,normal_NMPR,normal_NMPR,0.318430651585079,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_101861,normal_NMPR,normal_NMPR,0.206375939767069,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_607248,normal_NMPR,normal_NMPR,0.144315874808943,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_755094,normal_NMPR,normal_NMPR,0.248583104497287,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_22981,normal_NMPR,normal_NMPR,0.143521295538496,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_634931,normal_NMPR,normal_NMPR,0.458633101164998,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_45327,normal_NMPR,normal_NMPR,0.1373455891413,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_728599,normal_NMPR,normal_NMPR,0.157151024364995,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_660218,normal_NMPR,normal_NMPR,0.263426326838757,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_755728,normal_NMPR,normal_NMPR,0.234619439054455,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_565638,normal_NMPR,normal_NMPR,0.449981934019812,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_216569,normal_NMPR,normal_NMPR,0.188928330109846,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_72335,normal_NMPR,normal_NMPR,0.156992112093466,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_221676,normal_NMPR,normal_NMPR,0.171566266306384,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_100469,normal_NMPR,normal_NMPR,0.333282575128708,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_44201,normal_NMPR,normal_NMPR,0.26517084463523,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_287449,normal_NMPR,normal_NMPR,0.225789931758746,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_455581,normal_NMPR,normal_NMPR,0.430100830800957,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_816895,normal_NMPR,normal_NMPR,0.142618034798047,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_51513,normal_NMPR,normal_NMPR,0.167499685709957,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_85302,normal_NMPR,normal_NMPR,0.234319339773406,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_128140,normal_NMPR,normal_NMPR,0.237050055327329,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_854377,normal_NMPR,normal_NMPR,0.307290564159778,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_748967,normal_NMPR,normal_NMPR,0.275132476638698,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_856137,normal_NMPR,normal_NMPR,0.195309110046987,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_32672,normal_NMPR,normal_NMPR,0.254778000693616,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_840205,normal_NMPR,normal_NMPR,0.273738727598679,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_260,normal_NMPR,normal_NMPR,0.341706621315625,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_359378,normal_NMPR,normal_NMPR,0.218880665275027,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_687052,normal_NMPR,normal_NMPR,0.266099093920709,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_537320,normal_NMPR,normal_NMPR,0.2423047917636,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_455514,normal_NMPR,normal_NMPR,0.238832828878517,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_119622,normal_NMPR,normal_NMPR,0.287155168060636,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_214158,normal_NMPR,normal_NMPR,0.249575498672632,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_467660,normal_NMPR,normal_NMPR,0.283823627152978,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_532585,normal_NMPR,normal_NMPR,0.230339309448012,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_348756,normal_NMPR,normal_NMPR,0.226075291120791,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_398274,normal_NMPR,normal_NMPR,0.232272314244106,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_345180,normal_NMPR,normal_NMPR,0.294048337157875,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_401178,normal_NMPR,normal_NMPR,0.247546139392262,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_50037,normal_NMPR,normal_NMPR,0.233681411179785,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_766138,normal_NMPR,normal_NMPR,0.33582875559662,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_802534,normal_NMPR,normal_NMPR,0.22179649672826,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_67387,normal_NMPR,normal_NMPR,0.33528704425196,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_711887,normal_NMPR,normal_NMPR,0.248280604194113,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_56417,normal_NMPR,normal_NMPR,0.131253899675006,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_779630,normal_NMPR,normal_NMPR,0.300896743512686,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_608601,normal_NMPR,normal_NMPR,0.296192104383155,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_11874,normal_NMPR,normal_NMPR,0.243966599807473,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_543528,normal_NMPR,normal_NMPR,0.342051732227173,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_137873,normal_NMPR,normal_NMPR,0.228805179865682,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_158769,normal_NMPR,normal_NMPR,0.287957152110871,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_496303,normal_NMPR,normal_NMPR,0.210137289323627,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_574585,normal_NMPR,normal_NMPR,0.262048582087846,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_223963,normal_NMPR,normal_NMPR,0.208759318262165,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_355834,normal_NMPR,normal_NMPR,0.183452881764216,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_352153,normal_NMPR,normal_NMPR,0.227130158071703,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_830774,normal_NMPR,normal_NMPR,0.142337661594151,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_342714,normal_NMPR,normal_NMPR,0.268488633663637,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_801921,normal_NMPR,normal_NMPR,0.23609895078281,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_354946,normal_NMPR,normal_NMPR,0.24147678318501,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_301850,normal_NMPR,normal_NMPR,0.142373716453055,Differentiated,NMPR,Tumor_epithelial_basal
