tam_state,signature,p_value,median_MPR,median_nonMPR,p_adj
LAMs,HALLMARK_ANGIOGENESIS,0.351916195,0.073414707,0.071933476,0.391017995
LAMs,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.34958316,0.031421043,0.031705966,0.391017995
LAMs,HALLMARK_UV_RESPONSE_DN,0.405335856,0.0426457,0.041039113,0.440582452
LAMs,HALLMARK_HEDGEHOG_SIGNALING,0.425126555,0.019560693,0.020802865,0.452262292
LAMs,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.584212173,0.016357473,0.017963831,0.608554347
LAMs,HALLMARK_MYC_TARGETS_V1,0.767722135,0.170564487,0.169078242,0.783389934
LAMs,HALLMARK_E2F_TARGETS,0.833176695,0.034248839,0.035176849,0.833176695
Monocyte FCN1+,HALLMARK_INTERFERON_ALPHA_RESPONSE,1.24E-11,0.098288063,0.120331162,6.18E-10
Monocyte FCN1+,HALLMARK_UV_RESPONSE_UP,1.16E-10,0.125822607,0.137217685,2.91E-09
Monocyte FCN1+,HALLMARK_FATTY_ACID_METABOLISM,5.74E-09,0.073454257,0.079940429,9.57E-08
Monocyte FCN1+,HALLMARK_MYC_TARGETS_V2,8.11E-08,0.045468935,0.055238659,1.01E-06
Monocyte FCN1+,HALLMARK_COMPLEMENT,2.53E-06,0.138059128,0.147264202,2.53E-05
Monocyte FCN1+,HALLMARK_APICAL_SURFACE,7.97E-06,0.04613521,0.053576373,6.64E-05
Monocyte FCN1+,HALLMARK_GLYCOLYSIS,1.20E-05,0.077843873,0.084928546,8.60E-05
Monocyte FCN1+,HALLMARK_ADIPOGENESIS,2.54E-05,0.084707038,0.089677563,0.00015874
Monocyte FCN1+,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3.40E-05,0.094308682,0.100101822,0.0001891
Monocyte FCN1+,HALLMARK_P53_PATHWAY,4.32E-05,0.125913719,0.130831547,0.000216245
Monocyte FCN1+,HALLMARK_ANGIOGENESIS,6.65E-05,0.115882926,0.125740616,0.000302355
Monocyte FCN1+,HALLMARK_MTORC1_SIGNALING,8.62E-05,0.141495177,0.1492408,0.000358989
Monocyte FCN1+,HALLMARK_APOPTOSIS,0.000113048,0.153951037,0.160030903,0.000434801
Monocyte FCN1+,HALLMARK_PROTEIN_SECRETION,0.000139383,0.089539198,0.096706711,0.000497796
Monocyte FCN1+,HALLMARK_PEROXISOME,0.000231426,0.060513817,0.064629002,0.00077142
Monocyte FCN1+,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.000648581,0.125666436,0.133268653,0.002026817
Monocyte FCN1+,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.000842377,0.152044275,0.160591491,0.002477578
Monocyte FCN1+,HALLMARK_MITOTIC_SPINDLE,0.001183461,0.054950646,0.05110822,0.003114372
