source,tam_state,response,mean_activity
RFX5,Stress-response,MPR,12.4403641474504
RFX5,Stress-response,non-MPR,12.6735933773269
RFX5,Stress-response,pCR,12.1673366118567
RFXANK,Classical-Mono,MPR,17.489707587053
RFXANK,Classical-Mono,non-MPR,16.2251088720546
RFXANK,Classical-Mono,pCR,15.6617271547227
RFXANK,IFN-stimulated,MPR,16.4664488499643
RFXANK,IFN-stimulated,non-MPR,16.1254439760954
RFXANK,IFN-stimulated,pCR,17.8998336474592
RFXANK,LAMs,MPR,12.3286633049686
RFXANK,LAMs,non-MPR,16.2845687733407
RFXANK,LAMs,pCR,15.0460690879234
RFXANK,Monocyte FCN1+,MPR,15.6026221062786
RFXANK,Monocyte FCN1+,non-MPR,13.4121062857621
RFXANK,Monocyte FCN1+,pCR,16.6044223278631
RFXANK,Proliferating,MPR,11.2145357426223
RFXANK,Proliferating,non-MPR,14.0815009292709
RFXANK,Proliferating,pCR,11.5974022930312
RFXANK,Resident M2,MPR,17.9649616075693
RFXANK,Resident M2,non-MPR,17.0854224865575
RFXANK,Resident M2,pCR,18.2631111631462
RFXANK,Stress-response,MPR,14.2061549235488
RFXANK,Stress-response,non-MPR,14.1730768822793
RFXANK,Stress-response,pCR,13.6543297498712
RFXAP,Classical-Mono,MPR,18.7594767549478
RFXAP,Classical-Mono,non-MPR,17.4651293592824
RFXAP,Classical-Mono,pCR,16.9327455111367
RFXAP,IFN-stimulated,MPR,17.7022204186221
RFXAP,IFN-stimulated,non-MPR,17.3209302967783
RFXAP,IFN-stimulated,pCR,19.1051000506282
RFXAP,LAMs,MPR,13.2379254910993
RFXAP,LAMs,non-MPR,17.4516043431749
RFXAP,LAMs,pCR,16.1040344497756
RFXAP,Monocyte FCN1+,MPR,16.7568015498904
RFXAP,Monocyte FCN1+,non-MPR,14.4581656006978
RFXAP,Monocyte FCN1+,pCR,17.8180833220881
RFXAP,Proliferating,MPR,11.9153158505549
RFXAP,Proliferating,non-MPR,15.1050939971524
RFXAP,Proliferating,pCR,12.5653851414664
RFXAP,Resident M2,MPR,19.2742662638975
RFXAP,Resident M2,non-MPR,18.3593364193533
RFXAP,Resident M2,pCR,19.5757335416162
RFXAP,Stress-response,MPR,15.2058698472306
RFXAP,Stress-response,non-MPR,15.2504377809809
RFXAP,Stress-response,pCR,14.691444491218
STAT1,Classical-Mono,MPR,9.43802807598032
STAT1,Classical-Mono,non-MPR,10.1320636393993
STAT1,Classical-Mono,pCR,8.19975117940762
STAT1,IFN-stimulated,MPR,11.1068138183979
STAT1,IFN-stimulated,non-MPR,14.3351853555672
STAT1,IFN-stimulated,pCR,12.4621817813603
STAT1,LAMs,MPR,6.47255709424248
STAT1,LAMs,non-MPR,9.11204198931424
STAT1,LAMs,pCR,6.39579978720284
STAT1,Monocyte FCN1+,MPR,8.88931849106776
STAT1,Monocyte FCN1+,non-MPR,9.95028359156656
