source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
CD8.TPEX,CD8.TEX,CXCL13,CXCR3,0.00636742543750722,0,CXCL13_CXCR3,CXCL13 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
Classical Mono-derived,CD8.CM,CXCL16,CXCR6,0.0116615307098496,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.CM,CXCL16,CXCR6,0.01791530502809,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Inflammatory Mono-derived,CD8.CM,CXCL16,CXCR6,0.0153306359432089,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Lipid-associated,CD8.CM,CXCL16,CXCR6,0.00559676818517454,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Proliferating,CD8.CM,CXCL16,CXCR6,0.0047010585907049,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Resident M2,CD8.CM,CXCL16,CXCR6,0.015287592355168,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Stress-response,CD8.CM,CXCL16,CXCR6,0.004519012557529,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Classical Mono-derived,CD8.MAIT,CXCL16,CXCR6,0.0114888607769972,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.MAIT,CXCL16,CXCR6,0.0176516905241595,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
Inflammatory Mono-derived,CD8.MAIT,CXCL16,CXCR6,0.0151044685826109,0,CXCL16_CXCR6,CXCL16 - CXCR6,CXCL,Secreted Signaling,KEGG: hsa04060
